"id","name","code","user_type_id/id","chart_template_id/id","currency_id/id","reconcile"
"cuenta20153001","Impuesto a la Propiedad de Bienes Inmuebles","20153001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20153002","Patentes y Licencias por pagar","20153002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta201610","Remuneraciones a Pagar","201610","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20161001","Sueldos por  Pagar","20161001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20161002","Finiquitos por Pagar","20161002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta201620","Cargas Sociales Laborales por Pagar","201620","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20162001","Aportes a las AFP's","20162001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20162002","Aporte Solidario","20162002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20162003","Aporte Nacional Solidario Laboral","20162003","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta201630","Cargas Sociales Patronales por Pagar","201630","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20163001","Aportes por Pagar CNS","20163001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20163002","Aporte a la Gestora Nacional 1.71%","20163002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20163003","Aporte Solidario Patronal  3%","20163003","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20163004","Aportes por Pagar FONVIS","20163004","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20163005","Aportes por Pagar INFOCAL","20163005","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta201640","Provisiones por Pagar","201640","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20164001","Provision Prima Anual","20164001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20164002","Provision Aguinaldos","20164002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
